anio,region_deis,nivel,total_count,total_pop,value,lowercl,uppercl
2023,Cuyo,GC4,3716,7582048,48.888761967619,47.3284055118752,50.4874313381724
2010,NEA,GC1,5023,7525306,105.180781789623,102.231746995836,108.191980226725
2011,NEA,GC1,4425,7613788,89.6029089243424,86.9284160350699,92.3375127165041
2012,NEA,GC1,4687,7702098,92.166368515086,89.4982774485342,94.892705986573
2013,NEA,GC1,4340,7790108,83.4000866346297,80.8970320372137,85.9599540479684
2014,NEA,GC1,4211,7877618,78.5131345747049,76.1226601310633,80.9587018260427
2015,NEA,GC1,4475,7964360,80.5631505206633,78.1865797692635,82.9928332575268
2016,NEA,GC1,4896,8050348,85.7129448052523,83.2988657222107,88.1785745196784
2017,NEA,GC1,4690,8135580,80.066769275612,77.7671577378477,82.4165667852821
2018,NEA,GC1,4317,8219734,71.5245981087275,69.386322435334,73.7115378016118
2019,NEA,GC1,4375,8302518,69.98457080067,67.9080137546031,72.1080690185592
2020,NEA,GC1,4420,8383658,68.7098534126576,66.6850393952758,70.7802024453179
2021,NEA,GC1,5303,8463156,80.2335745808712,78.0763579567096,82.4350333360237
2022,NEA,GC1,5790,8541044,85.1222946280597,82.9336315039989,87.3538947444582
2023,NEA,GC1,5039,8617166,71.5398155343029,69.5701948054782,73.5508877925766
2010,NEA,GC2,1961,7525306,41.460902736163,39.6118476256548,43.3727755613462
2011,NEA,GC2,1968,7613788,40.1046160123321,38.3199097929192,41.9498438963485
2012,NEA,GC2,1900,7702098,36.9083090243548,35.2346461990603,38.6397536513846
2013,NEA,GC2,1765,7790108,33.3159670951537,31.7509122476731,34.9371223050612
2014,NEA,GC2,1520,7877618,28.0664326701364,26.6508412980593,29.5367869298984
2015,NEA,GC2,1768,7964360,30.7412946589642,29.2989676924408,32.235277987144
2016,NEA,GC2,1717,8050348,29.7495262735043,28.3389505499759,31.2113808273381
2017,NEA,GC2,1682,8135580,28.3128641563608,26.9588835747486,29.7165858856476
2018,NEA,GC2,1507,8219734,24.6154275597679,23.3748090138772,25.9042510335059
2019,NEA,GC2,1554,8302518,24.6668703719549,23.4441466742553,25.9363645606435
2020,NEA,GC2,1512,8383658,23.4553693761526,22.2787077487738,24.6776735862167
2021,NEA,GC2,1734,8463156,25.8729258390018,24.6604889356118,27.1292177266324
2022,NEA,GC2,1776,8541044,26.2483283053871,25.0365867140556,27.5033681664107
2023,NEA,GC2,1569,8617166,22.3043564945579,21.2099087613648,23.4404632525306
2010,NEA,GC3,1420,7525306,28.5711847828599,27.0699873176912,30.1325109863769
2011,NEA,GC3,1438,7613788,28.107283538432,26.6429720272788,29.6298701125817
2012,NEA,GC3,1584,7702098,30.3461014197074,28.844018649238,31.9050824363183
2013,NEA,GC3,1470,7790108,27.3575951682394,25.9525027848704,28.8179807206509
2014,NEA,GC3,1536,7877618,27.9108088892428,26.5114795922281,29.3639833301221
2015,NEA,GC3,1666,7964360,29.614393030478,28.1896536292383,31.0917288479557
2016,NEA,GC3,1850,8050348,31.7174926817727,30.2703582463059,33.2152717296763
2017,NEA,GC3,1677,8135580,27.9449264221917,26.6085878766355,29.3304326052522
2018,NEA,GC3,1655,8219734,26.726828863715,25.4416402575479,28.0596227596174
2019,NEA,GC3,1595,8302518,24.9056561389275,23.6863499948465,26.170986236102
2020,NEA,GC3,1523,8383658,23.130654787355,21.9750354288517,24.3309348972748
2021,NEA,GC3,1610,8463156,23.8219126156687,22.6653978929747,25.0218731413847
2022,NEA,GC3,1743,8541044,25.08018399346,23.9102088635563,26.2923666644247
2023,NEA,GC3,1704,8617166,23.9218076371782,22.7950328950317,25.0897032294115
2010,NEA,GC4,3899,7525306,82.6101506703278,79.9908107729167,85.2922580983298
2011,NEA,GC4,3726,7613788,76.2401100680971,73.7676754029775,78.7731701503748
2012,NEA,GC4,4077,7702098,81.4272904466589,78.9094851881054,84.0040811808883
2013,NEA,GC4,4480,7790108,87.3462442811611,84.7729904326034,89.9769731253845
2014,NEA,GC4,4979,7877618,94.5876229627338,91.9480367152932,97.2830980636392
2015,NEA,GC4,5317,7964360,98.0507546358757,95.4058067664509,100.749875196069
2016,NEA,GC4,6163,8050348,109.891190400989,107.138528224804,112.696176988305
2017,NEA,GC4,5382,8135580,93.3862555933767,90.8873389303281,95.9360405106969
2018,NEA,GC4,5739,8219734,96.5766491063362,94.0756936180086,99.126887995713
2019,NEA,GC4,5860,8302518,95.3354397535717,92.8941716416035,97.8243104455167
2020,NEA,GC4,5251,8383658,82.5527504403858,80.3226574395514,84.8288086588506
2021,NEA,GC4,5763,8463156,87.3828844831058,85.1304827188536,89.6795781695545
2022,NEA,GC4,6693,8541044,98.7059630740814,96.3456120325253,101.109349888556
2023,NEA,GC4,5749,8617166,82.2253384237988,80.1069371301253,84.385447854474
2010,NOA,GC1,6296,9337542,99.4403179030996,96.9708854969082,101.956187284653
2011,NOA,GC1,6157,9461558,93.8798823431871,91.523066695942,96.2815199431679
2012,NOA,GC1,6665,9585790,99.2505820819535,96.8581597284049,101.686717410974
2013,NOA,GC1,7114,9710098,103.462852528975,101.052474982338,105.915844855317
2014,NOA,GC1,6842,9834274,96.3059734128406,94.0189086819886,98.6342766079288
2015,NOA,GC1,7251,9958030,99.082206193447,96.7977468023885,101.406667091272
2016,NOA,GC1,6229,10081366,82.8068303282172,80.7496047273198,84.9029511347927
2017,NOA,GC1,6960,10204264,90.1518560151341,88.0347513206874,92.3068064033188
2018,NOA,GC1,8012,10326428,100.704905923517,98.5013323678636,102.945169210887
2019,NOA,GC1,7936,10447558,97.0817181176518,94.9490206313472,99.2500964352916
2020,NOA,GC1,8191,10567370,97.3811436117398,95.2772490733054,99.5196798399449
2021,NOA,GC1,9166,10685846,105.510297197451,103.355773242443,107.698339989764
2022,NOA,GC1,9950,10803002,111.291834974757,109.111232561785,113.504986740459
2023,NOA,GC1,9967,10918632,108.16275329211,106.046709815433,110.310355294637
2010,NOA,GC2,2500,9337542,39.2736078705071,37.729822479407,40.8637447048567
2011,NOA,GC2,2748,9461558,41.4102915732985,39.8558894252102,43.0091743164682
2012,NOA,GC2,2674,9585790,38.6941690757083,37.2207555823919,40.210334266868
2013,NOA,GC2,2638,9710098,36.9673651562129,35.5512261400682,38.4248779335344
2014,NOA,GC2,2415,9834274,33.2102380533405,31.8844595168626,34.5765285914222
2015,NOA,GC2,2447,9958030,32.9265927855051,31.6224704444059,34.270299596398
2016,NOA,GC2,2187,10081366,28.8535646966178,27.6479545117058,30.0979206482534
2017,NOA,GC2,2136,10204264,27.3942493410354,26.236802863715,28.589343039869
2018,NOA,GC2,2382,10326428,29.7267230691624,28.5379870713157,30.9520384288196
2019,NOA,GC2,2379,10447558,28.6634924311039,27.5167747536245,29.8455191152399
2020,NOA,GC2,2705,10567370,31.5801838268332,30.3951287573817,32.7994230265214
2021,NOA,GC2,2676,10685846,30.4024123970214,29.2568659296603,31.5811847444917
2022,NOA,GC2,2671,10803002,29.7886351131852,28.6668318089586,30.9430065669822
2023,NOA,GC2,2039,10918632,22.1214099845489,21.170081443239,23.1044222888249
2010,NOA,GC3,2015,9337542,31.2138659066897,29.8491775926308,32.6242796606441
2011,NOA,GC3,1942,9461558,29.1495054783073,27.8511781459363,30.4921599942415
2012,NOA,GC3,1953,9585790,28.6770482509079,27.4058183371848,29.9915555094556
2013,NOA,GC3,1833,9710098,26.2533744975331,25.0540593295301,27.4948594002915
2014,NOA,GC3,2014,9834274,27.7154533955947,26.5053264883719,28.966137236274
2015,NOA,GC3,2024,9958030,27.043370332587,25.8667006151529,28.2593763498508
2016,NOA,GC3,2316,10081366,30.3951876634902,29.1604291551976,31.6684885186182
2017,NOA,GC3,2198,10204264,27.9767187906721,26.8114431194,29.179348485635
2018,NOA,GC3,2471,10326428,30.5881865757229,29.3867200181467,31.8259411769786
2019,NOA,GC3,2399,10447558,29.1111309368012,27.952490594698,30.3052958682768
2020,NOA,GC3,2075,10567370,24.4172160004215,23.3738152409712,25.4950587173191
2021,NOA,GC3,2503,10685846,28.6034482251546,27.4905119784716,29.7497795072168
2022,NOA,GC3,2530,10803002,28.210078449553,27.119209465407,29.3335023127258
2023,NOA,GC3,2362,10918632,25.5215637399358,24.5009505885279,26.5737177709887
2010,NOA,GC4,4701,9337542,74.3015817322268,72.1685266649176,76.4811327476273
2011,NOA,GC4,4473,9461558,68.2938963974215,66.2835317038581,70.3491992114021
2012,NOA,GC4,4825,9585790,71.688255515192,69.6587831527983,73.7613870162303
2013,NOA,GC4,4958,9710098,71.4261703188977,69.4318588682055,73.4627983781154
2014,NOA,GC4,4877,9834274,68.6359292146799,66.7066216503228,70.6065166412706
2015,NOA,GC4,5449,9958030,74.7738505205048,72.7871209437347,76.8007700218382
2016,NOA,GC4,6875,10081366,91.7103026213248,89.5416556692564,93.9179579321199
2017,NOA,GC4,6135,10204264,79.9017296714589,77.9043223670784,81.9371924601027
2018,NOA,GC4,5149,10326428,65.0145031856668,63.2429383978718,66.8229463339421
2019,NOA,GC4,5210,10447558,64.3131677763019,62.5733287965363,66.0890096106401
2020,NOA,GC4,5474,10567370,65.4370240884374,63.7108826929773,67.1980032044134
2021,NOA,GC4,5837,10685846,67.4259172800636,65.7037931687461,69.1816881024029
2022,NOA,GC4,6421,10803002,72.2394879784109,70.4804943002317,74.031232161203
2023,NOA,GC4,5572,10918632,60.7401940823903,59.1539171314887,62.3582000428078
2010,Patagonia,GC1,2165,4935522,64.9909788641774,62.2429603095479,67.8277684505566
2011,Patagonia,GC1,2029,5029662,58.2104254593282,55.6694206111734,60.8362699513171
2012,Patagonia,GC1,1898,5123570,53.0011920915494,50.6151594459086,55.4696447194751
