anio,region_deis,jurisd_deis,nivel,total_count,total_pop,value,lowercl,uppercl
2023,Centro,Córdoba,GC2,2407,7745660,27.5168575436786,26.4253629070622,28.641761447151
2010,Centro,Córdoba,GC3,2321,6746050,35.4040975051828,33.9765845448821,36.8761206992466
2011,Centro,Córdoba,GC3,2261,6823546,33.8471785547762,32.4645374692999,35.2735088863365
2012,Centro,Córdoba,GC3,2312,6901346,34.0300002740135,32.6550915219325,35.4478638360137
2013,Centro,Córdoba,GC3,2348,6979338,33.8459027723754,32.4889365330115,35.24493145726
2014,Centro,Córdoba,GC3,2257,7057374,31.9592399902048,30.6524363369825,33.3073737576347
2015,Centro,Córdoba,GC3,2034,7135308,28.2100954969138,26.9957677677925,29.4649166988207
2016,Centro,Córdoba,GC3,1978,7213080,26.9077899134918,25.7334462697618,28.1218543853335
2017,Centro,Córdoba,GC3,1932,7290642,25.7892776473316,24.6505559311637,26.9669797018207
2018,Centro,Córdoba,GC3,1881,7367874,24.5914312025029,23.4910637562035,25.7299829328143
2019,Centro,Córdoba,GC3,1854,7444664,23.7722446798546,22.7006840600262,24.8812648990063
2020,Centro,Córdoba,GC3,1812,7520900,22.7091154232411,21.673611316514,23.7812438741721
2021,Centro,Córdoba,GC3,2002,7596522,24.6177404987294,23.5487496086079,25.7226673925925
2022,Centro,Córdoba,GC3,2126,7671476,25.3792674901024,24.3090951492426,26.4843315955244
2023,Centro,Córdoba,GC3,2063,7745660,24.1482164972816,23.1140841286064,25.2165858170519
2010,Centro,Córdoba,GC4,3856,6746050,58.5121311817371,56.6778094855848,60.3906565814994
2011,Centro,Córdoba,GC4,3758,6823546,56.0532561222191,54.2732926226874,57.8766765510419
2012,Centro,Córdoba,GC4,3618,6901346,52.995202058261,51.2802135184206,54.7528746013992
2013,Centro,Córdoba,GC4,4250,6979338,60.9497862566885,59.1287053485011,62.8126418168362
2014,Centro,Córdoba,GC4,3950,7057374,55.4465321958097,53.7288503676456,57.2051049418154
2015,Centro,Córdoba,GC4,4331,7135308,59.6055398743481,57.8415597406135,61.4095998588418
2016,Centro,Córdoba,GC4,4977,7213080,67.1548547983076,65.299879716035,69.0491138789959
2017,Centro,Córdoba,GC4,4615,7290642,60.9292485627174,59.1819436947116,62.7149983890648
2018,Centro,Córdoba,GC4,4474,7367874,58.0189634739508,56.3290845594787,59.7466123465664
2019,Centro,Córdoba,GC4,4349,7444664,55.0180514530405,53.3926800216338,56.6802759104156
2020,Centro,Córdoba,GC4,3837,7520900,47.636214905798,46.1382825013834,49.1703351146682
2021,Centro,Córdoba,GC4,4531,7596522,55.312515424232,53.7102213972288,56.9503930884009
2022,Centro,Córdoba,GC4,4762,7671476,56.3969355790655,54.8025995090235,58.0257987261591
2023,Centro,Córdoba,GC4,4072,7745660,47.0872308401363,45.6477646104516,48.560440897228
2010,Centro,Entre Ríos,GC1,2419,2511148,107.721225706766,103.465607246521,112.106774337299
2011,Centro,Entre Ríos,GC1,2771,2537488,120.748121117469,116.288712051556,125.334601114256
2012,Centro,Entre Ríos,GC1,2719,2563862,115.90782117987,111.587190975282,120.352758040781
2013,Centro,Entre Ríos,GC1,2993,2590242,124.988047509056,120.546223262405,129.551585071283
2014,Centro,Entre Ríos,GC1,2782,2616580,113.505073252593,109.322750912585,117.806331404443
2015,Centro,Entre Ríos,GC1,2701,2642830,107.758878349396,103.73039384493,111.903656004738
2016,Centro,Entre Ríos,GC1,3146,2668978,122.544208868596,118.296583201982,126.905318857131
2017,Centro,Entre Ríos,GC1,2851,2695016,108.42818001542,104.482193635693,112.484994022282
2018,Centro,Entre Ríos,GC1,2918,2720886,108.458481618398,104.556594852546,112.468672674025
2019,Centro,Entre Ríos,GC1,3007,2746540,109.137511576884,105.268814534822,113.111966523741
2020,Centro,Entre Ríos,GC1,3017,2771922,106.992019381374,103.20507687483,110.882310597801
2021,Centro,Entre Ríos,GC1,3767,2797020,130.328692545676,126.195485681266,134.562687376073
2022,Centro,Entre Ríos,GC1,4195,2821816,141.381634066624,137.129747710121,145.731701907234
2023,Centro,Entre Ríos,GC1,3567,2846272,117.43527545286,113.605677376029,121.360875960544
2010,Centro,Entre Ríos,GC2,894,2511148,40.0320294843594,37.4493460735808,42.7458327334209
2011,Centro,Entre Ríos,GC2,806,2537488,35.2756847425599,32.8808363964713,37.7987705217114
2012,Centro,Entre Ríos,GC2,824,2563862,35.2341842351822,32.8680144973883,37.7256241666736
2013,Centro,Entre Ríos,GC2,827,2590242,34.564624878897,32.2476240918413,37.0040636541122
2014,Centro,Entre Ríos,GC2,715,2616580,29.1701582392708,27.069824447834,31.3901165728443
2015,Centro,Entre Ríos,GC2,731,2642830,29.067902855728,26.9977291581435,31.2546461542749
2016,Centro,Entre Ríos,GC2,796,2668978,30.9784466729951,28.8624365405237,33.2084935223225
2017,Centro,Entre Ríos,GC2,729,2695016,27.6769473515987,25.7030805928356,29.7621177808242
2018,Centro,Entre Ríos,GC2,687,2720886,25.4013032037235,23.5361676342642,27.3748783911562
2019,Centro,Entre Ríos,GC2,688,2746540,24.8567754402927,23.0328741070344,26.7866394948635
2020,Centro,Entre Ríos,GC2,703,2771922,24.7432446445181,22.9464055749774,26.6433195894919
2021,Centro,Entre Ríos,GC2,781,2797020,26.7407651295462,24.8962082565392,28.6857076532885
2022,Centro,Entre Ríos,GC2,864,2821816,28.8125226562406,26.9208087666393,30.8019762849852
2023,Centro,Entre Ríos,GC2,704,2846272,22.886935564408,21.2244554131112,24.6448621353193
2010,Centro,Entre Ríos,GC3,666,2511148,29.4992223490437,27.2975233904228,31.8309954950536
2011,Centro,Entre Ríos,GC3,681,2537488,29.6689402581633,27.4791725056054,31.9865992137006
